"query_id","arm","runtime_ms","node_type","startup_cost","total_cost","plan_rows","plan_width","actual_rows","actual_total_time","oracle_arm","oracle_runtime","regret_ms"
"job_24a","no_nestloop","6608.024","Aggregate","1028786.04","1028786.05","1","96","1","6589.602","no_mergejoin","227.63033333333337","6380.393666666667"
"job_24a","no_hashjoin","313.188","Aggregate","6838.81","6838.82","1","96","1","313.057","no_mergejoin","227.63033333333337","85.55766666666662"
"job_24a","no_hashjoin","279.999","Aggregate","6838.81","6838.82","1","96","1","279.876","no_mergejoin","227.63033333333337","52.368666666666655"
"job_7b","default","281.809","Aggregate","9079.94","9079.95","1","64","1","281.715","no_hashjoin","235.52566666666667","46.28333333333336"
"job_24a","no_hashjoin","302.549","Aggregate","6838.81","6838.82","1","96","1","302.167","no_mergejoin","227.63033333333337","74.91866666666661"
"job_24a","default","391.707","Aggregate","6645.28","6645.29","1","96","1","391.549","no_mergejoin","227.63033333333337","164.07666666666663"
"job_24a","default","408.043","Aggregate","6645.28","6645.29","1","96","1","407.893","no_mergejoin","227.63033333333337","180.41266666666664"
"job_24a","default","443.159","Aggregate","6645.28","6645.29","1","96","1","443.031","no_mergejoin","227.63033333333337","215.52866666666662"
"job_7b","no_mergejoin","283.611","Aggregate","9079.94","9079.95","1","64","1","283.519","no_hashjoin","235.52566666666667","48.085333333333324"
"job_7b","default","252.522","Aggregate","9079.94","9079.95","1","64","1","252.422","no_hashjoin","235.52566666666667","16.996333333333325"
"job_7b","default","231.181","Aggregate","9079.94","9079.95","1","64","1","231.1","no_hashjoin","235.52566666666667","-4.3446666666666545"
"job_7b","no_hashjoin","242.56","Aggregate","9079.94","9079.95","1","64","1","242.478","no_hashjoin","235.52566666666667","7.034333333333336"
"job_7b","no_hashjoin","224.803","Aggregate","9079.94","9079.95","1","64","1","224.72","no_hashjoin","235.52566666666667","-10.722666666666669"
